GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UltiEconomy,com.ultikits.plugins.economy.config,EconomyConfig,0,40,0,0,0,14,0,1,0,1
UltiEconomy,com.ultikits.plugins.economy.entity,PlayerAccountEntity,0,6,0,0,0,1,0,1,0,1
